Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-01;;0;1;19;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;19/07/2023 09:44:00;2;38;DP45VEGA1,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-573600;614762;-137897;198962
1;-689737;742883;111246;-66683
1.5;-137797;192711;241589;-200824
2;221527;-165870;237933;-204288
2.5;545490;-500746;340545;-290474
3;848400;-786635;-25781;78757
3.5;902243;-852946;69830;-22873
4;494902;-448518;-151810;205891
4.5;380175;-334603;295797;-242256
5;417577;-362042;557636;-500204
5.5;215531;-179139;30594;16618
6;224660;-181276;-136861;182862
6.5;59075;-15750;-44391;86978
7;-63406;110945;-113311;171090
7.5;-111728;161084;-303071;340557
8;43309;6912;-835191;884406
8.5;-189152;240497;-821651;879564
9;35124;17914;-867851;918935
9.5;-512134;553450;-630063;678813
10;-655549;706254;-691083;739913
10.5;-196857;228544;-901251;949561
11;-114346;172799;-616854;653933
11.5;-88289;139812;-415500;462898
12;211942;-162019;-372801;427746
12.5;-189681;234475;-601541;649595
13;143252;-93031;-451389;495370
13.5;-109120;163414;-262875;305487
14;-324523;382270;-516739;570030
14.5;-206674;252083;-244447;291245
15;188148;-138991;-279333;324181
15.5;-206306;251813;-292265;330390
16;-6610;53082;-589043;632829
16.5;80984;-28556;-877722;915045
17;-137321;187772;-1044749;1088471
17.5;-146852;196510;-1507189;1550986
18;-252946;303478;-1097607;1153799
18.5;-44104;99154;-924334;974935
19;35791;12483;-1224668;1273534
