Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-01;;0;1;19;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;12/08/2024 13:30:00;2;38;DP45VEGA1,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-564857;616877;-128501;177998
1;-684975;726244;121027;-75824
1.5;-132073;187077;254374;-203822
2;224171;-171631;240825;-202780
2.5;559619;-509244;347491;-296888
3;852642;-806952;-19320;79074
3.5;909723;-865131;70758;-15102
4;494443;-438059;-149786;202480
4.5;387133;-338503;307801;-263101
5;414878;-368212;565904;-516316
5.5;221932;-175286;36730;7116
6;233760;-178640;-123305;172759
6.5;61764;-12069;-36302;84643
7;-56982;102265;-110347;147175
7.5;-99373;149477;-294719;344951
8;43086;17347;-834647;889850
8.5;-183562;235506;-825364;877820
9;35770;7727;-857680;903107
9.5;-512313;567567;-631506;689969
10;-650622;689903;-689913;732293
10.5;-196673;253607;-897688;950393
11;-111190;162619;-616918;674980
11.5;-77249;128093;-413230;468423
12;215435;-175807;-373423;423155
12.5;-188817;237442;-599443;653659
13;141210;-81740;-444103;491835
13.5;-113063;165152;-258123;301479
14;-324624;376875;-515339;569270
14.5;-206252;258310;-244236;286089
15;189071;-138259;-279268;335147
15.5;-208533;259811;-286004;315161
16;-5968;54032;-594127;646712
16.5;85802;-37601;-873542;925602
17;-131490;166359;-1048340;1108966
17.5;-143070;191695;-1512807;1555905
18;-250786;297434;-1099579;1158539
18.5;-44405;95166;-924605;969322
19;35302;13868;-1222939;1272280
